"1.0TB SAS 2.0 6.0Gb/s 7200RPM - 3.5in - Seagate Constellation™ ES.3", "ST1000NM0023", "129.00", "1.0TB", "3.5in Internal", "6.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"1.0TB SAS 2.0 6.0Gb/s 7200RPM - 3.5in - Toshiba MG03SCA Series", "MG03SCA100", "119.00", "1.0TB", "3.5in Internal", "6.0Gb/s SAS", "7200RPM", "64MB", "159 IOPS", "130 IOPS", "155 MB/s", "68 MB/s"
"1.0TB SAS 3.0 12.0Gb/s 7200RPM - 2.5in - Seagate Enterprise Capacity (512e)", "ST1000NX0333", "239.00", "1.0TB", "2.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"1.0TB SATA 6.0Gb/s 7200RPM - 2.5in - Seagate Enterprise Capacity (512e)", "ST1000NX0313", "209.00", "1.0TB", "2.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"1.0TB SATA 6.0Gb/s 7200RPM - 2.5in - Western Digital Black WD10JPLX (9.5mm)", "WD10JPLX", "79.00", "1.0TB", "2.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "32MB", "undefined", "undefined", "undefined", "undefined"
"1.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Seagate Barracuda® 7200.14", "ST1000DM003", "59.00", "1.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "156 MB/s", "156 MB/s"
"1.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Seagate Constellation™ ES.3", "ST1000NM0033", "119.00", "1.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"1.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Toshiba MG03ACA Series", "MG03ACA100", "109.00", "1.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "145 IOPS", "125 IOPS", "155 MB/s", "68 MB/s"
"1.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Black WD1003FZEX", "WD1003FZEX", "90.00", "1.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"1.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE WD1004FBYZ", "WD1004FBYZ", "110.00", "1.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"1.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Se WD1002F9YZ", "WD1002F9YZ", "99.00", "1.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"1.2TB SAS 2.0 6.0Gb/s 10000RPM - 2.5in - Hitachi Ultrastar™ C10K1200 (512n)", "0B25168", "379.00", "1.2TB", "2.5in Internal", "6.0Gb/s SAS", "10,000RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"1.2TB SAS 3.0 12.0Gb/s 10000RPM - 2.5in - Hitachi Ultrastar™ C10K1800 (512n)", "0B28807", "359.00", "1.2TB", "2.5in Internal", "12.0Gb/s SAS", "10,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"1.2TB SAS 3.0 12.0Gb/s 10000RPM - 2.5in - Seagate Enterprise Performance 10K HDD (512e)", "ST1200MM0018", "339.00", "1.2TB", "2.5in Internal", "12.0Gb/s SAS", "10,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"1.8TB SAS 3.0 12.0Gb/s 10000RPM - 2.5in - Hitachi Ultrastar™ C10K1800 (4Kn)", "0B29921", "617.00", "1.8TB", "2.5in Internal", "12.0Gb/s SAS", "10,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"1.8TB SAS 3.0 12.0Gb/s 10000RPM - 2.5in - Seagate Enterprise Performance 10K HDD (512e)", "ST1800MM0018", "579.00", "1.8TB", "2.5in Internal", "12.0Gb/s SAS", "10,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"10TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ He10 (512e)", "0F27352", "699.00", "10.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "256MB", "undefined", "undefined", "undefined", "undefined"
"10TB SATA 6.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ He10 (512e)", "0F27452", "679.00", "10.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "256MB", "undefined", "undefined", "undefined", "undefined"
"147GB SAS 2.0 6.0Gb/s 15000RPM - 2.5in - Toshiba AL12SX Series", "MK1401GRRB", "199.00", "147GB", "2.5in Internal", "6.0Gb/s SAS", "15,000RPM", "32MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SAS 2.0 6.0Gb/s 7200RPM - 3.5in - Toshiba MG03SCA Series", "MG03SCA200", "189.00", "2.0TB", "3.5in Internal", "6.0Gb/s SAS", "7200RPM", "64MB", "159 IOPS", "130 IOPS", "155 MB/s", "68 MB/s"
"2.0TB SAS 3.0 12.0Gb/s 7200RPM - 2.5in - Seagate Enterprise Capacity (512e)", "ST2000NX0273", "389.00", "2.0TB", "2.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512e)", "0F22799", "199.00", "2.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Seagate Enterprise Capacity (512e)", "ST2000NM0034", "179.00", "2.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SATA 6.0Gb/s 7200RPM - 2.5in - Seagate Enterprise Capacity (512e)", "ST2000NX0253", "349.00", "2.0TB", "2.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512e)", "0F23009", "189.00", "2.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512n)", "0F23092", "189.00", "2.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Seagate Barracuda® 7200.14", "ST2000DM001", "79.00", "2.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "156 MB/s", "156 MB/s"
"2.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Seagate Enterprise Capacity (512e)", "ST2000NM0024", "159.00", "2.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Toshiba MC04ACA Series", "MC04ACA200E", "149.00", "2.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Toshiba MG03ACA Series", "MG03ACA200", "159.00", "2.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "145 IOPS", "125 IOPS", "155 MB/s", "68 MB/s"
"2.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Black WD2003FZEX", "WD2003FZEX", "150.00", "2.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"2.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Se WD2000F9YZ", "WD2000F9YZ", "159.00", "2.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"3.0TB SAS 2.0 6.0Gb/s 7200RPM - 3.5in - Toshiba MG03SCA Series", "MG03SCA300", "229.00", "3.0TB", "3.5in Internal", "6.0Gb/s SAS", "7200RPM", "64MB", "159 IOPS", "130 IOPS", "155 MB/s", "68 MB/s"
"3.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Toshiba MC04ACA Series", "MC04ACA300E", "199.00", "3.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"3.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Toshiba MG03ACA Series", "MG03ACA300", "219.00", "3.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "145 IOPS", "125 IOPS", "155 MB/s", "68 MB/s"
"3.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Black WD3003FZEX", "WD3003FZEX", "196.00", "3.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"3.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE WD3000FYYZ", "WD3000FYYZ", "230.00", "3.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"3.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Se WD3000F9YZ", "WD3000F9YZ", "219.00", "3.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"300GB SAS 2.0 6.0Gb/s 10000RPM - 2.5in - Hitachi Ultrastar™ C10K900 (512n)", "0B26011", "189.00", "300GB", "2.5in Internal", "6.0Gb/s SAS", "10,000RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"300GB SAS 2.0 6.0Gb/s 10000RPM - 2.5in - Toshiba AL13SE Series", "AL13SEB300", "159.00", "300GB", "2.5in Internal", "6.0Gb/s SAS", "10,000RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"300GB SAS 2.0 6.0Gb/s 15000RPM - 2.5in - Toshiba AL12SX Series", "MK3001GRRB", "289.00", "300GB", "2.5in Internal", "6.0Gb/s SAS", "15,000RPM", "32MB", "undefined", "undefined", "undefined", "undefined"
"300GB SAS 3.0 12.0Gb/s 10000RPM - 2.5in - Hitachi Ultrastar™ C10K1800 (512n)", "0B28810", "199.00", "300GB", "2.5in Internal", "12.0Gb/s SAS", "10,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"300GB SAS 3.0 12.0Gb/s 15000RPM - 2.5in - Hitachi Ultrastar™ C15K600 (512n)", "0B28955", "269.00", "300GB", "2.5in Internal", "12.0Gb/s SAS", "15,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"300GB SAS 3.0 12.0Gb/s 15000RPM - 2.5in - Seagate Enterprise Performance 15K HDD (512n)", "ST300MP0005", "249.00", "300GB", "2.5in Internal", "12.0Gb/s SAS", "15,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"320GB SATA 6.0Gb/s 5400RPM - 2.5in - Western Digital Blue WD3200LPVX (7.0mm)", "WD3200LPVX", "57.00", "320GB", "2.5in Internal", "6.0Gb/s Serial ATA", "5400RPM", "8MB", "undefined", "undefined", "undefined", "undefined"
"320GB SATA 6.0Gb/s 7200RPM - 2.5in - Western Digital Black WD3200BEKX (9.5mm)", "WD3200BEKX", "67.00", "320GB", "2.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "16MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SAS 2.0 6.0Gb/s 7200RPM - 3.5in - Toshiba MG03SCA Series", "MG03SCA400", "269.00", "4.0TB", "3.5in Internal", "6.0Gb/s SAS", "7200RPM", "64MB", "159 IOPS", "139 IOPS", "159 MB/s", "73 MB/s"
"4.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512e)", "0F22795", "249.00", "4.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Seagate Enterprise Capacity (512e)", "ST4000NM0034", "269.00", "4.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SATA 6.0Gb/s - 3.5in - Seagate Desktop HDD.15", "ST4000DM000", "149.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "undefined", "64MB", "undefined", "undefined", "146 MB/s", "146 MB/s"
"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512e)", "0F23005", "249.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512n)", "0F23090", "249.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Seagate Enterprise Capacity (512e)", "ST4000NM0024", "249.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Toshiba MC04ACA Series", "MC04ACA400E", "239.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Toshiba MG03ACA Series", "MG03ACA400", "249.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "150 IOPS", "130 IOPS", "165 MB/s", "73 MB/s"
"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Black WD4003FZEX", "WD4003FZEX", "239.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE WD4000FYYZ", "WD4000FYYZ", "260.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Se WD4000F9YZ", "WD4000F9YZ", "279.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"5.0TB SATA 6.0Gb/s 5900RPM SMR - 3.5in - Seagate Archive HDD", "ST5000AS0011", "209.00", "5.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "5900RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"5.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Toshiba MC04ACA Series", "MC04ACA500E", "289.00", "5.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"5.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE WD5001FSYZ", "WD5001FSYZ", "493.00", "5.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"5.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Se WD5001F9YZ", "WD5001F9YZ", "439.00", "5.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"500GB SATA 6.0Gb/s 7200RPM - 2.5in - Western Digital Black WD5000LPLX (7.0mm)", "WD5000LPLX", "70.00", "500GB", "2.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "32MB", "undefined", "undefined", "undefined", "undefined"
"500GB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE4 WD5003ABYZ", "WD5003ABYZ", "89.00", "500GB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512e)", "0F22791", "339.00", "6.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ He8 (512e)", "0F23270", "389.00", "6.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Seagate Enterprise Capacity (512e)", "ST6000NM0034", "339.00", "6.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s - 3.5in - Seagate Desktop HDD.15", "ST6000DM001", "259.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "undefined", "128MB", "undefined", "undefined", "180 MB/s", "180 MB/s"
"6.0TB SATA 6.0Gb/s 5900RPM SMR - 3.5in - Seagate Archive HDD v2", "ST6000AS0002", "239.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "5900RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™  He8 (512e)", "0F23269", "379.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512e)", "0F23001", "329.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Seagate Enterprise Capacity (512e)", "ST6000NM0024", "329.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE WD6001FSYZ", "WD6001FSYZ", "528.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Se WD6001F9YZ", "WD6001F9YZ", "469.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 2.0 6.0Gb/s 10000RPM - 2.5in - Hitachi Ultrastar™ C10K900 (512n)", "0B26013", "229.00", "600GB", "2.5in Internal", "6.0Gb/s SAS", "10,000RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 2.0 6.0Gb/s 10000RPM - 2.5in - Toshiba AL13SE Series", "AL13SEB600", "249.00", "600GB", "2.5in Internal", "6.0Gb/s SAS", "10,000RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 3.0 12.0Gb/s 10000RPM - 2.5in - Hitachi Ultrastar™ C10K1800 (512n)", "0B28808", "249.00", "600GB", "2.5in Internal", "12.0Gb/s SAS", "10,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 3.0 12.0Gb/s 10000RPM - 2.5in - Seagate Enterprise Performance 10K HDD (512e)", "ST600MM0018", "189.00", "600GB", "2.5in Internal", "12.0Gb/s SAS", "10,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 3.0 12.0Gb/s 15000RPM - 2.5in - Hitachi Ultrastar™ C15K600 (512n)", "0B28953", "399.00", "600GB", "2.5in Internal", "12.0Gb/s SAS", "15,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"600GB SAS 3.0 12.0Gb/s 15000RPM - 2.5in - Seagate Enterprise Performance 15K HDD (512n)", "ST600MP0005", "359.00", "600GB", "2.5in Internal", "12.0Gb/s SAS", "15,000RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
